Industry,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Gross domestic product,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
  Private industries,87.5,87.7,87.8,87.6,87.3,87.1,87.3,87.4,87.5,87.5,87.0,86.2,86.4
      Agriculture/forestry/fishing/hunting,1.1,1.0,1.0,1.0,0.9,1.0,1.2,1.0,0.9,1.0,1.1,1.0,1.1
          Farms,0.9,0.8,0.7,0.7,0.7,0.8,1.0,0.8,0.7,0.8,0.9,0.8,0.9
          Forestry/fishing/related activities,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
      Mining,0.9,0.9,1.1,1.2,1.0,1.2,1.3,1.5,1.7,1.8,2.2,1.5,1.6
          Oil and gas extraction,0.5,0.5,0.7,0.7,0.6,0.8,0.9,1.0,1.1,1.2,1.5,0.9,1.0
          Mining/except oil and gas,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
          Support activities for mining,0.1,0.1,0.1,0.2,0.1,0.2,0.2,0.2,0.3,0.4,0.4,0.3,0.3
      Utilities,1.9,1.8,1.7,1.7,1.7,1.7,1.8,1.6,1.8,1.8,1.8,1.9,1.8
      Construction,4.4,4.6,4.7,4.8,4.6,4.6,4.7,4.9,4.9,4.7,4.3,3.9,3.5
      Manufacturing,15.1,14.6,14.2,13.1,12.7,12.3,12.5,12.4,12.3,12.1,11.4,11.0,11.7
        Durable goods,8.9,8.6,8.4,7.4,7.2,6.9,6.9,7.0,6.9,6.7,6.3,5.7,6.3
          Wood products,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.2
          Nonmetallic mineral products,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.2,0.2
          Primary metals,0.5,0.5,0.5,0.4,0.4,0.3,0.4,0.4,0.4,0.4,0.4,0.3,0.3
          Fabricated metal products,1.3,1.2,1.2,1.1,1.0,0.9,1.0,1.0,0.9,1.0,0.9,0.8,0.8
          Machinery,1.3,1.2,1.1,1.0,0.9,0.8,0.8,0.9,0.9,0.9,0.9,0.8,1.0
          Computer and electronic products,1.7,1.6,1.7,1.2,1.2,1.2,1.3,1.5,1.5,1.4,1.5,1.5,1.8
          Electrical equipment/appliances/components,0.4,0.5,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.4,0.3
          Motor vehicles/bodies and trailers/parts,1.2,1.2,1.2,1.0,1.1,1.1,1.0,0.9,0.8,0.7,0.5,0.2,0.4
          Other transportation equipment,0.7,0.7,0.7,0.7,0.6,0.6,0.6,0.6,0.6,0.7,0.6,0.6,0.5
          Furniture and related products,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2
          Miscellaneous manufacturing,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
        Nondurable goods,6.2,6.0,5.8,5.7,5.5,5.5,5.6,5.5,5.4,5.4,5.1,5.3,5.4
          Food and beverage and tobacco products,1.6,1.7,1.7,1.7,1.7,1.6,1.4,1.4,1.4,1.3,1.3,1.6,1.4
          Textile mills and textile product mills,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1
          Apparel and leather and allied products,0.3,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
          Paper products,0.6,0.6,0.6,0.5,0.5,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.4
